City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Katherine,AU,77.3,clear sky,-14.4667,132.2667,Pine Tree Motel
6,Lahaina,US,76.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
7,Butaritari,KI,81.3,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
8,Saldanha,ZA,82.5,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
9,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Bambous Virieux,MU,75.5,scattered clouds,-20.3428,57.7575,Casa Tia Villa
16,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
19,Kapoeta,SS,85.2,scattered clouds,4.7717,33.5903,Eastgate Hotel
22,Vanimo,PG,78.9,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
23,Kavieng,PG,81.0,broken clouds,-2.5744,150.7967,Nusa Island Retreat
25,Rikitea,PF,77.3,scattered clouds,-23.1203,-134.9692,People ThankYou
26,Epe,NG,84.4,light rain,6.5841,3.9834,MAGVILLE HOTEL
30,Bluefields,NI,77.1,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
31,Bubaque,GW,79.9,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
39,Boyolangu,ID,75.5,broken clouds,-8.1181,111.8935,Yos ega cv
44,Bethel,US,81.4,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
51,Ledyard,US,83.4,scattered clouds,41.4398,-72.0142,Stonecroft Country Inn
54,Dalbandin,PK,85.6,clear sky,28.8947,64.4101,Sanjrani House
58,Acapulco,MX,88.5,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
59,Yenagoa,NG,80.7,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
60,Saint-Francois,FR,78.2,clear sky,46.4154,3.9054,Manoir Du Bonheur
62,Souillac,MU,75.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
71,Kavaratti,IN,81.7,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
72,Hilo,US,78.3,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Turayf,SA,82.7,clear sky,31.6725,38.6637,Turaif
76,Atuona,PF,78.4,clear sky,-9.8,-139.0333,Villa Enata
77,Poitiers,FR,79.2,clear sky,46.5833,0.3333,ibis Poitiers Centre
78,Hithadhoo,MV,83.3,broken clouds,-0.6,73.0833,Scoop Guest House
84,Mahebourg,MU,75.5,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Caravelas,BR,83.9,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
87,Litomysl,CZ,76.5,broken clouds,49.8681,16.313,Hotel Aplaus
88,Meulaboh,ID,78.8,overcast clouds,4.1363,96.1285,Kost Pria
94,Cabo San Lucas,MX,88.6,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
95,Kirakira,SB,78.2,overcast clouds,-10.4544,161.9205,SanBiz Lodge
99,Cagliari,IT,78.0,clear sky,39.245,9.0912,Holiday Inn Cagliari
102,Tiarei,PF,80.6,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
104,Broome,US,75.7,broken clouds,42.2506,-75.833,Chenango Valley State Park
105,Shawnee,US,76.9,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
107,Weligama,LK,79.0,overcast clouds,5.9667,80.4167,Weligama Bay Resort
108,Cape Town,ZA,79.2,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
112,Barra Do Garcas,BR,88.4,few clouds,-15.89,-52.2567,Pousada Tropical
114,Sao Joao Da Barra,BR,81.5,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
115,Lorengau,PG,80.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
117,Kahului,US,76.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
123,Avarua,CK,76.9,light rain,-21.2078,-159.775,Paradise Inn
128,Georgetown,MY,80.5,light rain,5.4112,100.3354,Cititel Penang
130,Kapatalan,PH,75.4,overcast clouds,14.4741,121.4903,Great Valley Mountain Farm Laguna
133,Brownsville,US,87.9,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
135,Kloulklubed,PW,84.1,clear sky,7.0419,134.2556,Storyboard Beach Resort
137,Santa Engracia,ES,86.1,broken clouds,41.9406,-1.3245,Casa rural Santa Engracia
138,Quibdo,CO,86.4,overcast clouds,5.6947,-76.6611,Hotel Angeles
140,Mawlaik,MM,75.1,broken clouds,23.6333,94.4167,AKZ Guest House
144,Fare,PF,80.2,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
149,Mahuva,IN,87.4,clear sky,21.0914,71.7622,Hotel Blue Diamond.
156,Jerez,GT,87.3,broken clouds,14.1,-89.75,Auto hotel Esmeralda
162,Bandarbeyla,SO,81.9,scattered clouds,9.4942,50.8122,JABIR HOTEL
164,Nata,PA,78.9,overcast clouds,8.3333,-80.5167,Rey David
165,Cap Malheureux,MU,75.5,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
169,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
170,Kieta,PG,77.9,few clouds,-6.2167,155.6333,Uruna Bay Retreat
172,Oistins,BB,81.7,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
173,Iquitos,PE,80.4,light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
186,Malakal,SS,85.4,light rain,9.5334,31.6605,Nile Palace Hotel
191,Cine,TR,76.4,few clouds,37.6117,28.0614,Otel Alabanda
193,Dingle,PH,77.6,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
197,Sur,OM,87.4,clear sky,22.5667,59.5289,Sur Plaza Hotel
203,Lazaro Cardenas,MX,87.6,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
209,Zaragoza,ES,87.0,clear sky,41.6561,-0.8773,INNSiDE Zaragoza
210,Axim,GH,83.2,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
211,Pangai,TO,75.7,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
214,Vila Velha,BR,84.1,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
219,Nyamati,IN,76.6,moderate rain,14.15,75.5833,Parijatha Residency
223,New Albany,US,75.3,few clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
225,Arraial Do Cabo,BR,76.9,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
232,Mogadishu,SO,80.6,clear sky,2.0371,45.3438,Hotel Juba
240,Tucurui,BR,86.3,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
